*****************************
Basic coeficients
*****************************
Alpha, Cd
  -14.00    ,    .9355E-01
  -12.00    ,    .7140E-01
  -10.00    ,    .5349E-01
  -8.000    ,    .3963E-01
  -6.000    ,    .3009E-01
  -5.000    ,    .2678E-01
  -4.000    ,    .2455E-01
  -2.000    ,    .2237E-01
  -1.000    ,    .2256E-01
    .000    ,    .2368E-01
   1.000    ,    .2582E-01
   2.000    ,    .2895E-01
   4.000    ,    .3824E-01
   5.000    ,    .4444E-01
   8.000    ,    .6952E-01
   10.00    ,    .9176E-01
   12.00    ,    .1130    
   14.00    ,    .1331    
   16.00    ,    .1512    
   18.00    ,    .1614    

Alpha, CL
  -14.00    ,   -1.160    
  -12.00    ,   -.9562    
  -10.00    ,   -.7531    
  -8.000    ,   -.5524    
  -6.000    ,   -.3555    
  -5.000    ,   -.2590    
  -4.000    ,   -.1643    
  -2.000    ,    .2034E-01
  -1.000    ,    .1134    
    .000    ,    .2079    
   1.000    ,    .3040    
   2.000    ,    .4020    
   4.000    ,    .6034    
   5.000    ,    .7060    
   8.000    ,    1.019    
   10.00    ,    1.227    
   12.00    ,    1.390    
   14.00    ,    1.526    
   16.00    ,    1.626    
   18.00    ,    1.661    

Alpha, Cm
  -14.00    ,    .3663    
  -12.00    ,    .3094    
  -10.00    ,    .2550    
  -8.000    ,    .2005    
  -6.000    ,    .1453    
  -5.000    ,    .1172    
  -4.000    ,    .8969E-01
  -2.000    ,    .3214E-01
  -1.000    ,    .4009E-02
    .000    ,   -.2174E-01
   1.000    ,   -.4620E-01
   2.000    ,   -.7153E-01
   4.000    ,   -.1266    
   5.000    ,   -.1548    
   8.000    ,   -.2426    
   10.00    ,   -.3037    
   12.00    ,   -.3675    
   14.00    ,   -.4384    
   16.00    ,   -.5140    
   18.00    ,   -.5140    

Alpha, Cyb
  -14.00    ,   -.2563E-02
  -12.00    ,   -.2563E-02
  -10.00    ,   -.2563E-02
  -8.000    ,   -.2563E-02
  -6.000    ,   -.2563E-02
  -5.000    ,   -.2563E-02
  -4.000    ,   -.2563E-02
  -2.000    ,   -.2563E-02
  -1.000    ,   -.2563E-02
    .000    ,   -.2563E-02
   1.000    ,   -.2563E-02
   2.000    ,   -.2563E-02
   4.000    ,   -.2563E-02
   5.000    ,   -.2563E-02
   8.000    ,   -.2563E-02
   10.00    ,   -.2563E-02
   12.00    ,   -.2563E-02
   14.00    ,   -.2563E-02
   16.00    ,   -.2563E-02
   18.00    ,   -.2563E-02

Alpha, Cnb
  -14.00    ,         -INF
  -12.00    ,         -INF
  -10.00    ,         -INF
  -8.000    ,         -INF
  -6.000    ,         -INF
  -5.000    ,         -INF
  -4.000    ,         -INF
  -2.000    ,         -INF
  -1.000    ,         -INF
    .000    ,         -INF
   1.000    ,         -INF
   2.000    ,         -INF
   4.000    ,         -INF
   5.000    ,         -INF
   8.000    ,         -INF
   10.00    ,         -INF
   12.00    ,         -INF
   14.00    ,         -INF
   16.00    ,         -INF
   18.00    ,         -INF

Alpha, Clb
  -14.00    ,   -.2783E-03
  -12.00    ,   -.3283E-03
  -10.00    ,   -.3806E-03
  -8.000    ,   -.4328E-03
  -6.000    ,   -.4829E-03
  -5.000    ,   -.5069E-03
  -4.000    ,   -.5301E-03
  -2.000    ,   -.5740E-03
  -1.000    ,   -.5960E-03
