xflr5 v6.43

Plane name :        UAV2 (0.68 and 0.4)
Polar name :        T2-VLM2

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000     0.000   0.026022   0.000038   0.009438   0.009476  -0.000000   0.000000   0.003930   0.000000   0.000000   42.4503     0.0687
   -1.500     0.000   0.071254   0.000144   0.011017   0.011161  -0.000000   0.000000   0.000304   0.000000   0.000000   25.6533     0.0954
   -1.000     0.000   0.116486   0.000580   0.012279   0.012859  -0.000000   0.000000  -0.003416   0.000000   0.000000   20.0638     0.1013
   -0.500     0.000   0.161703   0.001346   0.013284   0.014630  -0.000000   0.000000  -0.007206   0.000000   0.000000   17.0290     0.1040
    0.000     0.000   0.206895   0.002443   0.014061   0.016504  -0.000000   0.000000  -0.011057   0.000000   0.000000   15.0548     0.1055
    0.500     0.000   0.252049   0.003869   0.014825   0.018694  -0.000000   0.000000  -0.014956   0.000000   0.000000   13.6398     0.1064
    1.000     0.000   0.297153   0.005625   0.015816   0.021441  -0.000000   0.000000  -0.018886   0.000000   0.000000   12.5620     0.1071
    1.500     0.000   0.342195   0.007708   0.016702   0.024410  -0.000000   0.000000  -0.022864   0.000000   0.000000   11.7061     0.1076
    2.000     0.000   0.387164   0.010118   0.017539   0.027657  -0.000000   0.000000  -0.026890   0.000000   0.000000   11.0053     0.1080
    2.500     0.000   0.432046   0.012852   0.018461   0.031313  -0.000000   0.000000  -0.030957   0.000000   0.000000   10.4180     0.1084
    3.000     0.000   0.476831   0.015910   0.019313   0.035223  -0.000000   0.000000  -0.035065   0.000000   0.000000    9.9167     0.1086
    3.500     0.000   0.521506   0.019289   0.020449   0.039738  -0.000000   0.000000  -0.039201   0.000000   0.000000    9.4824     0.1089
    4.000     0.000   0.566060   0.022987   0.022221   0.045208  -0.000000   0.000000  -0.043341   0.000000   0.000000    9.1016     0.1091
    4.500     0.000   0.610480   0.027002   0.024410   0.051411  -0.000000   0.000000  -0.047493   0.000000   0.000000    8.7642     0.1093
    5.000     0.000   0.654756   0.031329   0.026896   0.058225  -0.000000   0.000000  -0.051662   0.000000   0.000000    8.4627     0.1095
    5.500     0.000   0.698875   0.035968   0.028747   0.064714  -0.000000   0.000000  -0.055897   0.000000   0.000000    8.1912     0.1097
    6.000     0.000   0.742826   0.040913   0.030412   0.071326  -0.000000   0.000000  -0.060166   0.000000   0.000000    7.9452     0.1099
    6.500     0.000   0.786597   0.046163   0.033286   0.079449  -0.000000   0.000000  -0.064394   0.000000   0.000000    7.7210     0.1101
    7.000     0.000   0.830178   0.051712   0.034688   0.086400  -0.000000   0.000000  -0.068738   0.000000   0.000000    7.5156     0.1103
    7.500     0.000   0.873557   0.057558   0.035376   0.092934  -0.000000   0.000000  -0.073144   0.000000   0.000000    7.3266     0.1105
    8.000     0.000   0.916723   0.063696   0.036773   0.100469  -0.000000   0.000000  -0.077539   0.000000   0.000000    7.1520     0.1106
    8.500     0.000   0.959664   0.070121   0.036982   0.107103  -0.000000   0.000000  -0.082016   0.000000   0.000000    6.9902     0.1108
    9.000     0.000   1.002371   0.076829   0.036050   0.112878  -0.000000   0.000000  -0.086592   0.000000   0.000000    6.8397     0.1110
    9.500     0.000   1.044832   0.083815   0.034594   0.118409  -0.000000   0.000000  -0.091217   0.000000   0.000000    6.6992     0.1112
   10.000     0.000   1.087036   0.091074   0.033003   0.124077  -0.000000   0.000000  -0.095869   0.000000   0.000000    6.5679     0.1114


