flr5 v6.43

Plane name :        UAV2 (0.68 and 0.5)
Polar name :        T2-VLM2

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000     0.000   0.026304  -0.000284   0.009422   0.009138  -0.000000   0.000000   0.001853   0.000000   0.000000   41.8186     0.0843
   -1.500     0.000   0.071322  -0.000496   0.010968   0.010473  -0.000000  -0.000000  -0.001570   0.000000   0.000000   25.3962     0.1003
   -1.000     0.000   0.116344  -0.000347   0.012206   0.011859  -0.000000  -0.000000  -0.005081   0.000000   0.000000   19.8841     0.1039
   -0.500     0.000   0.161358   0.000162   0.013203   0.013365  -0.000000  -0.000000  -0.008661   0.000000   0.000000   16.8843     0.1055
    0.000     0.000   0.206351   0.001031   0.013951   0.014983  -0.000000  -0.000000  -0.012301   0.000000   0.000000   14.9305     0.1064
    0.500     0.000   0.251310   0.002261   0.014686   0.016946  -0.000000  -0.000000  -0.015986   0.000000   0.000000   13.5293     0.1070
    1.000     0.000   0.296222   0.003849   0.015669   0.019518  -0.000000  -0.000000  -0.019701   0.000000   0.000000   12.4615     0.1074
    1.500     0.000   0.341074   0.005795   0.016543   0.022338  -0.000000  -0.000000  -0.023465   0.000000   0.000000   11.6133     0.1077
    2.000     0.000   0.385854   0.008098   0.017357   0.025455  -0.000000  -0.000000  -0.027276   0.000000   0.000000   10.9186     0.1079
    2.500     0.000   0.430548   0.010757   0.018307   0.029064  -0.000000  -0.000000  -0.031123   0.000000   0.000000   10.3364     0.1082
    3.000     0.000   0.475145   0.013769   0.019147   0.032915  -0.000000  -0.000000  -0.035014   0.000000   0.000000    9.8393     0.1084
    3.500     0.000   0.519631   0.017132   0.020146   0.037279  -0.000000  -0.000000  -0.038937   0.000000   0.000000    9.4087     0.1085
    4.000     0.000   0.563994   0.020845   0.021839   0.042684  -0.000000  -0.000000  -0.042860   0.000000   0.000000    9.0311     0.1087
    4.500     0.000   0.608221   0.024905   0.023938   0.048843  -0.000000  -0.000000  -0.046794   0.000000   0.000000    8.6966     0.1089
    5.000     0.000   0.652300   0.029308   0.026262   0.055569  -0.000000  -0.000000  -0.050748   0.000000   0.000000    8.3976     0.1090
    5.500     0.000   0.696219   0.034052   0.028206   0.062257  -0.000000  -0.000000  -0.054754   0.000000   0.000000    8.1284     0.1092
    6.000     0.000   0.739965   0.039133   0.030246   0.069379  -0.000000  -0.000000  -0.058778   0.000000   0.000000    7.8845     0.1093
    6.500     0.000   0.783526   0.044547   0.032089   0.076637  -0.000000  -0.000000  -0.062835   0.000000   0.000000    7.6622     0.1095
    7.000     0.000   0.826890   0.050292   0.033965   0.084257  -0.000000  -0.000000  -0.066924   0.000000   0.000000    7.4586     0.1096
    7.500     0.000   0.870044   0.056362   0.034803   0.091165  -0.000000  -0.000000  -0.071099   0.000000   0.000000    7.2712     0.1098
    8.000     0.000   0.912978   0.062753   0.035801   0.098554  -0.000000  -0.000000  -0.075280   0.000000   0.000000    7.0982     0.1099
    8.500     0.000   0.955680   0.069461   0.035980   0.105441  -0.000000  -0.000000  -0.079535   0.000000   0.000000    6.9378     0.1101
    9.000     0.000   0.998137   0.076480   0.035712   0.112192  -0.000000  -0.000000  -0.083845   0.000000   0.000000    6.7887     0.1103
    9.500     0.000   1.040338   0.083806   0.034534   0.118340  -0.000000  -0.000000  -0.088233   0.000000   0.000000    6.6495     0.1104
   10.000     0.000   1.082272   0.091433   0.033188   0.124621  -0.000000  -0.000000  -0.092645   0.000000   0.000000    6.5194     0.1106


