xflr5 v6.43

Plane name :        UAV2(0.59 and 0.4)
Polar name :        T2-VLM2

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000     0.000   0.025658   0.000031   0.009524   0.009555  -0.000000   0.000000   0.007915   0.000000   0.000000   43.6671     0.0391
   -1.500     0.000   0.071636   0.000141   0.011177   0.011319  -0.000000   0.000000   0.003137   0.000000   0.000000   26.1335     0.0882
   -1.000     0.000   0.117614   0.000604   0.012426   0.013030  -0.000000   0.000000  -0.001745   0.000000   0.000000   20.3955     0.0989
   -0.500     0.000   0.163577   0.001418   0.013526   0.014943  -0.000000   0.000000  -0.006697   0.000000   0.000000   17.2943     0.1035
    0.000     0.000   0.209514   0.002584   0.014356   0.016939  -0.000000   0.000000  -0.011716   0.000000   0.000000   15.2812     0.1062
    0.500     0.000   0.255412   0.004100   0.015194   0.019295  -0.000000   0.000000  -0.016783   0.000000   0.000000   13.8403     0.1079
    1.000     0.000   0.301257   0.005967   0.016234   0.022202  -0.000000   0.000000  -0.021884   0.000000   0.000000   12.7437     0.1091
    1.500     0.000   0.347038   0.008183   0.017160   0.025344  -0.000000   0.000000  -0.027035   0.000000   0.000000   11.8734     0.1100
    2.000     0.000   0.392741   0.010747   0.017991   0.028738  -0.000000   0.000000  -0.032238   0.000000   0.000000   11.1612     0.1107
    2.500     0.000   0.438354   0.013656   0.018906   0.032562  -0.000000   0.000000  -0.037482   0.000000   0.000000   10.5646     0.1112
    3.000     0.000   0.483865   0.016910   0.019940   0.036850  -0.000000   0.000000  -0.042760   0.000000   0.000000   10.0555     0.1117
    3.500     0.000   0.529262   0.020505   0.021599   0.042104  -0.000000   0.000000  -0.048053   0.000000   0.000000    9.6146     0.1121
    4.000     0.000   0.574530   0.024440   0.023481   0.047921  -0.000000   0.000000  -0.053369   0.000000   0.000000    9.2280     0.1125
    4.500     0.000   0.619659   0.028711   0.025937   0.054648  -0.000000   0.000000  -0.058689   0.000000   0.000000    8.8856     0.1128
    5.000     0.000   0.664637   0.033317   0.028666   0.061982  -0.000000   0.000000  -0.064029   0.000000   0.000000    8.5797     0.1131
    5.500     0.000   0.709450   0.038252   0.030403   0.068656  -0.000000   0.000000  -0.069447   0.000000   0.000000    8.3043     0.1134
    6.000     0.000   0.754087   0.043515   0.032444   0.075959  -0.000000   0.000000  -0.074878   0.000000   0.000000    8.0548     0.1137
    6.500     0.000   0.798535   0.049102   0.035349   0.084450  -0.000000   0.000000  -0.080280   0.000000   0.000000    7.8274     0.1139
    7.000     0.000   0.842784   0.055008   0.037037   0.092045  -0.000000   0.000000  -0.085782   0.000000   0.000000    7.6191     0.1142
    7.500     0.000   0.886821   0.061229   0.037867   0.099096  -0.000000   0.000000  -0.091354   0.000000   0.000000    7.4276     0.1144
    8.000     0.000   0.930634   0.067761   0.038595   0.106356  -0.000000   0.000000  -0.096944   0.000000   0.000000    7.2506     0.1146
    8.500     0.000   0.974212   0.074599   0.038186   0.112785  -0.000000   0.000000  -0.102607   0.000000   0.000000    7.0866     0.1149
    9.000     0.000   1.017544   0.081738   0.036871   0.118609  -0.000000   0.000000  -0.108347   0.000000   0.000000    6.9341     0.1151
    9.500     0.000   1.060618   0.089173   0.035218   0.124391  -0.000000   0.000000  -0.114131   0.000000   0.000000    6.7918     0.1153
   10.000     0.000   1.103423   0.096899   0.033436   0.130336  -0.000000   0.000000  -0.119933   0.000000   0.000000    6.6588     0.1156


