xflr5 v6.43

Plane name :        UAV2
Polar name :        T2-VLM2

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000     0.000   0.025783   0.000033   0.009496   0.009529  -0.000000  -0.000000   0.006560   0.000000   0.000000   43.2500     0.0492
   -1.500     0.000   0.071522   0.000142   0.011126   0.011268  -0.000000  -0.000000   0.002174   0.000000   0.000000   25.9674     0.0906
   -1.000     0.000   0.117261   0.000595   0.012377   0.012972  -0.000000  -0.000000  -0.002313   0.000000   0.000000   20.2802     0.0997
   -0.500     0.000   0.162985   0.001393   0.013439   0.014832  -0.000000  -0.000000  -0.006871   0.000000   0.000000   17.2018     0.1037
    0.000     0.000   0.208684   0.002535   0.014257   0.016792  -0.000000  -0.000000  -0.011493   0.000000   0.000000   15.2021     0.1060
    0.500     0.000   0.254343   0.004021   0.015057   0.019078  -0.000000  -0.000000  -0.016163   0.000000   0.000000   13.7702     0.1074
    1.000     0.000   0.299951   0.005850   0.016092   0.021942  -0.000000  -0.000000  -0.020866   0.000000   0.000000   12.6801     0.1084
    1.500     0.000   0.345496   0.008020   0.017009   0.025030  -0.000000  -0.000000  -0.025619   0.000000   0.000000   11.8148     0.1092
    2.000     0.000   0.390964   0.010531   0.017838   0.028369  -0.000000  -0.000000  -0.030422   0.000000   0.000000   11.1066     0.1098
    2.500     0.000   0.436344   0.013381   0.018737   0.032118  -0.000000  -0.000000  -0.035266   0.000000   0.000000   10.5132     0.1103
    3.000     0.000   0.481622   0.016567   0.019687   0.036254  -0.000000  -0.000000  -0.040148   0.000000   0.000000   10.0068     0.1107
    3.500     0.000   0.526788   0.020088   0.021100   0.041189  -0.000000  -0.000000  -0.045050   0.000000   0.000000    9.5682     0.1111
    4.000     0.000   0.571829   0.023942   0.023059   0.047002  -0.000000  -0.000000  -0.049963   0.000000   0.000000    9.1837     0.1114
    4.500     0.000   0.616732   0.028126   0.025224   0.053350  -0.000000  -0.000000  -0.054892   0.000000   0.000000    8.8430     0.1117
    5.000     0.000   0.661485   0.032636   0.028144   0.060779  -0.000000  -0.000000  -0.059824   0.000000   0.000000    8.5386     0.1119
    5.500     0.000   0.706077   0.037470   0.029700   0.067170  -0.000000  -0.000000  -0.064848   0.000000   0.000000    8.2646     0.1122
    6.000     0.000   0.750495   0.042624   0.031651   0.074275  -0.000000  -0.000000  -0.069884   0.000000   0.000000    8.0163     0.1124
    6.500     0.000   0.794729   0.048095   0.034694   0.082789  -0.000000  -0.000000  -0.074879   0.000000   0.000000    7.7900     0.1127
    7.000     0.000   0.838765   0.053879   0.036212   0.090091  -0.000000  -0.000000  -0.079992   0.000000   0.000000    7.5828     0.1129
    7.500     0.000   0.882593   0.059972   0.036994   0.096966  -0.000000  -0.000000  -0.085171   0.000000   0.000000    7.3921     0.1131
    8.000     0.000   0.926201   0.066369   0.038070   0.104438  -0.000000  -0.000000  -0.090350   0.000000   0.000000    7.2160     0.1133
    8.500     0.000   0.969577   0.073065   0.037974   0.111039  -0.000000  -0.000000  -0.095609   0.000000   0.000000    7.0527     0.1136
    9.000     0.000   1.012711   0.080057   0.036619   0.116676  -0.000000  -0.000000  -0.100961  -0.000000   0.000000    6.9009     0.1138
    9.500     0.000   1.055591   0.087338   0.035037   0.122375  -0.000000  -0.000000  -0.106352  -0.000000   0.000000    6.7593     0.1140
   10.000     0.000   1.098207   0.094904   0.033393   0.128297  -0.000000  -0.000000  -0.111763   0.000000   0.000000    6.6268     0.1142


