xflr5 v6.43

Plane name :        naca 2412
Polar name :        T2-VLM2

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -1.500     0.000   0.026996   0.000016   0.008459   0.008475  -0.000000  -0.000000   0.001012   0.000000   0.000000   41.6769     0.0913
   -1.000     0.000   0.072209   0.000179   0.009431   0.009610   0.000000  -0.000000  -0.002571  -0.000000  -0.000000   25.4831     0.1035
   -0.500     0.000   0.117417   0.000676   0.010122   0.010798   0.000000  -0.000000  -0.006239  -0.000000  -0.000000   19.9840     0.1063
    0.000     0.000   0.162607   0.001506   0.011136   0.012642   0.000000  -0.000000  -0.009949  -0.000000  -0.000000   16.9816     0.1075
    0.500     0.000   0.207767   0.002670   0.011941   0.014610   0.000000  -0.000000  -0.013715  -0.000000  -0.000000   15.0231     0.1083
    1.000     0.000   0.252886   0.004166   0.012578   0.016744   0.000000   0.000000  -0.017530  -0.000000  -0.000000   13.6172     0.1087
    1.500     0.000   0.297950   0.005993   0.013257   0.019250   0.000000   0.000000  -0.021389  -0.000000  -0.000000   12.5452     0.1091
    2.000     0.000   0.342948   0.008151   0.013709   0.021860   0.000000   0.000000  -0.025303  -0.000000  -0.000000   11.6932     0.1093
    2.500     0.000   0.387868   0.010638   0.014060   0.024698   0.000000   0.000000  -0.029264  -0.000000  -0.000000   10.9953     0.1096
    3.000     0.000   0.432697   0.013452   0.014559   0.028012   0.000000   0.000000  -0.033257  -0.000000  -0.000000   10.4101     0.1097
    3.500     0.000   0.477424   0.016592   0.015082   0.031674   0.000000   0.000000  -0.037289  -0.000000  -0.000000    9.9105     0.1099
    4.000     0.000   0.522037   0.020055   0.015629   0.035684   0.000000   0.000000  -0.041354  -0.000000  -0.000000    9.4776     0.1101
    4.500     0.000   0.566524   0.023838   0.016233   0.040071   0.000000   0.000000  -0.045451  -0.000000  -0.000000    9.0979     0.1102
    5.000     0.000   0.610873   0.027940   0.016904   0.044845   0.000000   0.000000  -0.049579  -0.000000  -0.000000    8.7614     0.1104
    5.500     0.000   0.655073   0.032357   0.017652   0.050010   0.000000   0.000000  -0.053735  -0.000000  -0.000000    8.4607     0.1105
    6.000     0.000   0.699111   0.037087   0.018396   0.055482   0.000000   0.000000  -0.057916  -0.000000  -0.000000    8.1898     0.1107
    6.500     0.000   0.742977   0.042125   0.019124   0.061249   0.000000   0.000000  -0.062126  -0.000000  -0.000000    7.9444     0.1108
    7.000     0.000   0.786658   0.047468   0.019838   0.067306   0.000000   0.000000  -0.066365  -0.000000  -0.000000    7.7207     0.1109
    7.500     0.000   0.830144   0.053112   0.020559   0.073671   0.000000   0.000000  -0.070629  -0.000000  -0.000000    7.5157     0.1111
    8.000     0.000   0.873423   0.059054   0.021272   0.080326   0.000000   0.000000  -0.074911  -0.000000  -0.000000    7.3272     0.1112
    8.500     0.000   0.916484   0.065288   0.022013   0.087301   0.000000   0.000000  -0.079209  -0.000000  -0.000000    7.1530     0.1114
    9.000     0.000   0.959316   0.071811   0.022854   0.094665   0.000000   0.000000  -0.083521  -0.000000  -0.000000    6.9915     0.1116
    9.500     0.000   1.001908   0.078617   0.024165   0.102782   0.000000   0.000000  -0.087814  -0.000000  -0.000000    6.8412     0.1117
   10.000     0.000   1.044249   0.085702   0.026697   0.112399   0.000000   0.000000  -0.092028  -0.000000  -0.000000    6.7011     0.1119


